Ax,Ay,Az
-5050,-6139,5583
6871,-7792,11873
-3071,-2777,-6110
-3204,11407,9035
7025,-10616,9080
-4898,1196,-6036
-1075,9217,11850
6177,-12005,12983
-6135,5142,3939
1378,5968,-3930
4597,-12071,14406
-6951,8483,516
3661,2156,-1328
2807,-10828,14734
-6854,10903,-2538
-6478,-2145,1919
5975,-8340,13874
-663,12215,-4837
-5079,-6098,5450
6848,-4923,11950
-3063,12117,-6044
-3296,-9343,8837
7001,-953,9107
-4861,10774,-6022
-1096,-11314,11729
6107,2995,5744
-6088,7766,-4902
1323,-12234,13826
4606,-12074,2248
-6926,8474,-2819
3673,2104,14802
2778,-10858,-1024
-6908,10932,211
5338,-2109,14517
675,-8366,-3736
-5779,12220,3688
6461,-5936,13041
-1853,-4887,11957
-4233,12037,-6020
7001,-9319,8879
-4057,-975,9134
-2287,10547,-6063
6707,-11425,11731
-5496,3093,5780
-6073,7788,-4992
1333,-12196,13798
4608,6850,2212
-6988,4298,-2742
3623,-11448,14716
2738,9740,-1072
-6851,-28,236
5344,-9670,14469
612,11679,-3759
-5791,-4142,3651
6428,-6774,13059
-1821,12272,-5525
-4234,-7753,7155
7005,-3074,10719
-3989,-1182,-6149
-2243,10628,10296
6694,-11410,7628
-5496,2933,-5634
-2,7873,12854
5510,-12233,4158
-6542,6712,-4088
2418,4265,-2917
3791,-11586,14726
-7041,9719,-1022
4502,78,93
1855,-9842,14528
-6506,11639,-3682
5913,-3992,3481
-516,-6925,13174
-1746,12327,-5529
-4367,-7644,6961
6988,-3240,10769
-3899,11618,-6188
-2357,-10456,10216
6715,881,7683
-5435,9475,-5707
-87,-11959,12772
5566,4812,4201
-6592,6372,-4054
2411,-12080,14369
3793,8221,745
-7039,2265,-1467
4452,-10932,14785
1872,-9887,-2298
-6502,11650,1730
5899,-3902,14015
-450,-6974,-4645
-5206,12249,5219
6760,-7486,12076
-2897,-3303,-5929
-3466,11546,-6167
6988,-10410,10185
-4751,763,7706
-1257,9463,-5733
6272,-11922,12740
-6023,4804,4177
-6553,6220,-4172
2422,-12126,14327
3828,8268,722
-7084,2397,-1601
4430,-11076,14697
1949,10761,-2269
-6510,-1788,1614
5854,-8607,13998
-427,12168,-4655
-5233,-5796,5186
6777,-5226,12106
-2856,12142,-5927
-3425,-8971,8621
6959,-1355,9377
-4733,727,-6046
-1317,9500,11575
6293,-11905,6063
-5998,4754,-5025
1127,6328,13676
4745,-12117,2513
-6887,8222,-2974
3501,2480,14709
2939,-11067,-763
-6910,10725,-2238
5198,-1735,1619
813,-8633,14005
-5945,12164,-4640
6370,-5766,5131
-1687,-5262,12042
-4380,12024,-6031
-3432,-9058,8585
7016,-1352,9372
-4731,10694,-6137
-1392,-11250,11469
6304,2677,6089
-6013,8078,-5157
1096,-12199,13617
4782,6530,2483
